time,leapfrog_theta,leapfrog_w
0.000000,1.500000e-01,0.000000e+00
0.010000,1.500000e-01,-1.500000e-03
0.020000,1.499700e-01,-2.998777e-03
0.030000,1.499400e-01,-4.496955e-03
0.040000,1.498801e-01,-5.993910e-03
0.050000,1.498201e-01,-7.489668e-03
0.060000,1.497303e-01,-8.984205e-03
0.070000,1.496405e-01,-1.047695e-02
0.080000,1.495207e-01,-1.196847e-02
0.090000,1.494011e-01,-1.345760e-02
0.100000,1.492516e-01,-1.494552e-02
0.110000,1.491022e-01,-1.643044e-02
0.120000,1.489230e-01,-1.791416e-02
0.130000,1.487439e-01,-1.939429e-02
0.140000,1.485351e-01,-2.087322e-02
0.150000,1.483264e-01,-2.234797e-02
0.160000,1.480881e-01,-2.382153e-02
0.170000,1.478500e-01,-2.529031e-02
0.180000,1.475823e-01,-2.675790e-02
0.190000,1.473148e-01,-2.822014e-02
0.200000,1.470179e-01,-2.968119e-02
0.210000,1.467212e-01,-3.113629e-02
0.220000,1.463952e-01,-3.259022e-02
0.230000,1.460694e-01,-3.403762e-02
0.240000,1.457144e-01,-3.548385e-02
0.250000,1.453597e-01,-3.692297e-02
0.260000,1.449760e-01,-3.836094e-02
0.270000,1.445925e-01,-3.979120e-02
0.280000,1.441802e-01,-4.122034e-02
0.290000,1.437681e-01,-4.264119e-02
0.300000,1.433273e-01,-4.406093e-02
0.310000,1.428869e-01,-4.547181e-02
0.320000,1.424179e-01,-4.688158e-02
0.330000,1.419493e-01,-4.828193e-02
0.340000,1.414523e-01,-4.968119e-02
0.350000,1.409556e-01,-5.107046e-02
0.360000,1.404308e-01,-5.245866e-02
0.370000,1.399065e-01,-5.383630e-02
0.380000,1.393541e-01,-5.521288e-02
0.390000,1.388022e-01,-5.657836e-02
0.400000,1.382226e-01,-5.794279e-02
0.410000,1.376434e-01,-5.929556e-02
0.420000,1.370366e-01,-6.064730e-02
0.430000,1.364304e-01,-6.198683e-02
0.440000,1.357969e-01,-6.332536e-02
0.450000,1.351639e-01,-6.465113e-02
0.460000,1.345039e-01,-6.597592e-02
0.470000,1.338444e-01,-6.728740e-02
0.480000,1.331581e-01,-6.859793e-02
0.490000,1.324724e-01,-6.989462e-02
0.500000,1.317602e-01,-7.119038e-02
0.510000,1.310486e-01,-7.247177e-02
0.520000,1.303108e-01,-7.375225e-02
0.530000,1.295736e-01,-7.501785e-02
0.540000,1.288104e-01,-7.628255e-02
0.550000,1.280479e-01,-7.753185e-02
0.560000,1.272598e-01,-7.878028e-02
0.570000,1.264723e-01,-8.001280e-02
0.580000,1.256596e-01,-8.124447e-02
0.590000,1.248474e-01,-8.245973e-02
0.600000,1.240104e-01,-8.367418e-02
0.610000,1.231739e-01,-8.487171e-02
0.620000,1.223129e-01,-8.606844e-02
0.630000,1.214526e-01,-8.724778e-02
0.640000,1.205680e-01,-8.842635e-02
0.650000,1.196840e-01,-8.958702e-02
0.660000,1.187762e-01,-9.074697e-02
0.670000,1.178691e-01,-9.188855e-02
0.680000,1.169385e-01,-9.302942e-02
0.690000,1.160085e-01,-9.415145e-02
0.700000,1.150554e-01,-9.527281e-02
0.710000,1.141031e-01,-9.637486e-02
0.720000,1.131279e-01,-9.747628e-02
0.730000,1.121535e-01,-9.855793e-02
0.740000,1.111568e-01,-9.963897e-02
0.750000,1.101608e-01,-1.006998e-01
0.760000,1.091428e-01,-1.017601e-01
0.770000,1.081256e-01,-1.027997e-01
0.780000,1.070868e-01,-1.038387e-01
0.790000,1.060488e-01,-1.048567e-01
0.800000,1.049896e-01,-1.058742e-01
0.810000,1.039313e-01,-1.068702e-01
0.820000,1.028522e-01,-1.078657e-01
0.830000,1.017740e-01,-1.088393e-01
0.840000,1.006755e-01,-1.098124e-01
0.850000,9.957774e-02,-1.107632e-01
0.860000,9.846020e-02,-1.117136e-01
0.870000,9.734346e-02,-1.126413e-01
0.880000,9.620737e-02,-1.135686e-01
0.890000,9.507209e-02,-1.144729e-01
0.900000,9.391791e-02,-1.153767e-01
0.910000,9.276455e-02,-1.162571e-01
0.920000,9.159277e-02,-1.171372e-01
0.930000,9.042181e-02,-1.179935e-01
0.940000,8.923290e-02,-1.188494e-01
0.950000,8.804482e-02,-1.196812e-01
0.960000,8.683928e-02,-1.205127e-01
0.970000,8.563457e-02,-1.213197e-01
0.980000,8.441288e-02,-1.221265e-01
0.990000,8.319204e-02,-1.229084e-01
1.000000,8.195471e-02,-1.236901e-01
1.010000,8.071824e-02,-1.244466e-01
1.020000,7.946578e-02,-1.252030e-01
1.030000,7.821418e-02,-1.259338e-01
1.040000,7.694711e-02,-1.266646e-01
1.050000,7.568088e-02,-1.273695e-01
1.060000,7.439972e-02,-1.280743e-01
1.070000,7.311940e-02,-1.287530e-01
1.080000,7.182466e-02,-1.294317e-01
1.090000,7.053076e-02,-1.300840e-01
1.100000,6.922298e-02,-1.307362e-01
1.110000,6.791604e-02,-1.313618e-01
1.120000,6.659574e-02,-1.319874e-01
1.130000,6.527629e-02,-1.325861e-01
1.140000,6.394402e-02,-1.331848e-01
1.150000,6.261259e-02,-1.337563e-01
1.160000,6.126889e-02,-1.343280e-01
1.170000,5.992603e-02,-1.348722e-01
1.180000,5.857145e-02,-1.354165e-01
1.190000,5.721770e-02,-1.359332e-01
1.200000,5.585279e-02,-1.364500e-01
1.210000,5.448870e-02,-1.369390e-01
1.220000,5.311401e-02,-1.374281e-01
1.230000,5.174014e-02,-1.378892e-01
1.240000,5.035622e-02,-1.383505e-01
1.250000,4.897313e-02,-1.387835e-01
1.260000,4.758055e-02,-1.392168e-01
1.270000,4.618880e-02,-1.396215e-01
1.280000,4.478812e-02,-1.400267e-01
1.290000,4.338826e-02,-1.404031e-01
1.300000,4.198006e-02,-1.407800e-01
1.310000,4.057266e-02,-1.411279e-01
1.320000,3.915750e-02,-1.414763e-01
1.330000,3.774314e-02,-1.417957e-01
1.340000,3.632159e-02,-1.421156e-01
1.350000,3.490082e-02,-1.424062e-01
1.360000,3.347346e-02,-1.426974e-01
1.370000,3.204688e-02,-1.429593e-01
1.380000,3.061428e-02,-1.432218e-01
1.390000,2.918244e-02,-1.434548e-01
1.400000,2.774518e-02,-1.436885e-01
1.410000,2.630867e-02,-1.438925e-01
1.420000,2.486733e-02,-1.440973e-01
1.430000,2.342672e-02,-1.442724e-01
1.440000,2.198188e-02,-1.444482e-01
1.450000,2.053776e-02,-1.445942e-01
1.460000,1.909000e-02,-1.447410e-01
1.470000,1.764294e-02,-1.448580e-01
1.480000,1.619284e-02,-1.449757e-01
1.490000,1.474343e-02,-1.450636e-01
1.500000,1.329157e-02,-1.451523e-01
1.510000,1.184038e-02,-1.452111e-01
1.520000,1.038734e-02,-1.452707e-01
