time,leapfrog_theta,leapfrog_w
0.000000,1.500000e-01,0.000000e+00
0.010000,1.500000e-01,-1.500000e-03
0.020000,1.499700e-01,-3.000000e-03
0.030000,1.499400e-01,-4.499400e-03
0.040000,1.498800e-01,-5.998800e-03
0.050000,1.498200e-01,-7.497000e-03
0.060000,1.497301e-01,-8.995200e-03
0.070000,1.496401e-01,-1.049160e-02
0.080000,1.495202e-01,-1.198800e-02
0.090000,1.494004e-01,-1.348201e-02
0.100000,1.492506e-01,-1.497601e-02
0.110000,1.491008e-01,-1.646702e-02
0.120000,1.489213e-01,-1.795803e-02
0.130000,1.487417e-01,-1.944544e-02
0.140000,1.485324e-01,-2.093286e-02
0.150000,1.483230e-01,-2.241609e-02
0.160000,1.480840e-01,-2.389932e-02
0.170000,1.478450e-01,-2.537777e-02
0.180000,1.475765e-01,-2.685622e-02
0.190000,1.473079e-01,-2.832930e-02
0.200000,1.470099e-01,-2.980238e-02
0.210000,1.467119e-01,-3.126950e-02
0.220000,1.463845e-01,-3.273662e-02
0.230000,1.460571e-01,-3.419719e-02
0.240000,1.457006e-01,-3.565776e-02
0.250000,1.453440e-01,-3.711120e-02
0.260000,1.449583e-01,-3.856464e-02
0.270000,1.445727e-01,-4.001037e-02
0.280000,1.441581e-01,-4.145609e-02
0.290000,1.437436e-01,-4.289353e-02
0.300000,1.433003e-01,-4.433096e-02
0.310000,1.428569e-01,-4.575953e-02
0.320000,1.423851e-01,-4.718810e-02
0.330000,1.419132e-01,-4.860723e-02
0.340000,1.414129e-01,-5.002637e-02
0.350000,1.409127e-01,-5.143549e-02
0.360000,1.403842e-01,-5.284462e-02
0.370000,1.398558e-01,-5.424318e-02
0.380000,1.392993e-01,-5.564173e-02
0.390000,1.387429e-01,-5.702916e-02
0.400000,1.381588e-01,-5.841659e-02
0.410000,1.375746e-01,-5.979234e-02
0.420000,1.369629e-01,-6.116809e-02
0.430000,1.363512e-01,-6.253160e-02
0.440000,1.357123e-01,-6.389511e-02
0.450000,1.350733e-01,-6.524584e-02
0.460000,1.344074e-01,-6.659658e-02
0.470000,1.337414e-01,-6.793399e-02
0.480000,1.330487e-01,-6.927140e-02
0.490000,1.323560e-01,-7.059496e-02
0.500000,1.316368e-01,-7.191852e-02
0.510000,1.309176e-01,-7.322770e-02
0.520000,1.301722e-01,-7.453688e-02
0.530000,1.294269e-01,-7.583114e-02
0.540000,1.286556e-01,-7.712541e-02
0.550000,1.278844e-01,-7.840426e-02
0.560000,1.270875e-01,-7.968310e-02
0.570000,1.262907e-01,-8.094601e-02
0.580000,1.254686e-01,-8.220891e-02
0.590000,1.246465e-01,-8.345538e-02
0.600000,1.237995e-01,-8.470184e-02
0.610000,1.229525e-01,-8.593137e-02
0.620000,1.220809e-01,-8.716089e-02
0.630000,1.212093e-01,-8.837299e-02
0.640000,1.203134e-01,-8.958508e-02
0.650000,1.194176e-01,-9.077925e-02
0.660000,1.184978e-01,-9.197343e-02
0.670000,1.175781e-01,-9.314921e-02
0.680000,1.166348e-01,-9.432499e-02
0.690000,1.156916e-01,-9.548191e-02
0.700000,1.147252e-01,-9.663882e-02
0.710000,1.137588e-01,-9.777641e-02
0.720000,1.127697e-01,-9.891400e-02
0.730000,1.117805e-01,-1.000318e-01
0.740000,1.107690e-01,-1.011496e-01
0.750000,1.097575e-01,-1.022472e-01
0.760000,1.087241e-01,-1.033448e-01
0.770000,1.076906e-01,-1.044217e-01
0.780000,1.066357e-01,-1.054986e-01
0.790000,1.055807e-01,-1.065544e-01
0.800000,1.045046e-01,-1.076102e-01
0.810000,1.034285e-01,-1.086445e-01
0.820000,1.023317e-01,-1.096788e-01
0.830000,1.012349e-01,-1.106911e-01
0.840000,1.001179e-01,-1.117035e-01
0.850000,9.900083e-02,-1.126935e-01
0.860000,9.786399e-02,-1.136835e-01
0.870000,9.672716e-02,-1.146507e-01
0.880000,9.557098e-02,-1.156180e-01
0.890000,9.441480e-02,-1.165622e-01
0.900000,9.323973e-02,-1.175063e-01
0.910000,9.206467e-02,-1.184270e-01
0.920000,9.087119e-02,-1.193476e-01
0.930000,8.967772e-02,-1.202444e-01
0.940000,8.846631e-02,-1.211412e-01
0.950000,8.725489e-02,-1.220137e-01
0.960000,8.602603e-02,-1.228863e-01
0.970000,8.479717e-02,-1.237342e-01
0.980000,8.355135e-02,-1.245822e-01
0.990000,8.230553e-02,-1.254053e-01
1.000000,8.104324e-02,-1.262283e-01
1.010000,7.978096e-02,-1.270261e-01
1.020000,7.850272e-02,-1.278239e-01
1.030000,7.722448e-02,-1.285962e-01
1.040000,7.593080e-02,-1.293684e-01
1.050000,7.463711e-02,-1.301148e-01
1.060000,7.332850e-02,-1.308612e-01
1.070000,7.201989e-02,-1.315814e-01
1.080000,7.069687e-02,-1.323016e-01
1.090000,6.937386e-02,-1.329953e-01
1.100000,6.803697e-02,-1.336890e-01
1.110000,6.670008e-02,-1.343560e-01
1.120000,6.534985e-02,-1.350230e-01
1.130000,6.399962e-02,-1.356630e-01
1.140000,6.263659e-02,-1.363030e-01
1.150000,6.127356e-02,-1.369158e-01
1.160000,5.989827e-02,-1.375285e-01
1.170000,5.852299e-02,-1.381137e-01
1.180000,5.713600e-02,-1.386990e-01
1.190000,5.574901e-02,-1.392565e-01
1.200000,5.435087e-02,-1.398139e-01
1.210000,5.295273e-02,-1.403435e-01
1.220000,5.154400e-02,-1.408730e-01
1.230000,5.013527e-02,-1.413743e-01
1.240000,4.871651e-02,-1.418757e-01
1.250000,4.729775e-02,-1.423487e-01
1.260000,4.586954e-02,-1.428217e-01
1.270000,4.444132e-02,-1.432661e-01
1.280000,4.300422e-02,-1.437105e-01
1.290000,4.156711e-02,-1.441262e-01
1.300000,4.012169e-02,-1.445418e-01
1.310000,3.867627e-02,-1.449286e-01
1.320000,3.722312e-02,-1.453153e-01
1.330000,3.576997e-02,-1.456730e-01
1.340000,3.430966e-02,-1.460307e-01
1.350000,3.284935e-02,-1.463592e-01
1.360000,3.138247e-02,-1.466877e-01
1.370000,2.991560e-02,-1.469869e-01
1.380000,2.844274e-02,-1.472860e-01
1.390000,2.696988e-02,-1.475557e-01
1.400000,2.549162e-02,-1.478254e-01
1.410000,2.401337e-02,-1.480656e-01
1.420000,2.253031e-02,-1.483057e-01
1.430000,2.104725e-02,-1.485162e-01
1.440000,1.955999e-02,-1.487267e-01
1.450000,1.807272e-02,-1.489074e-01
1.460000,1.658184e-02,-1.490881e-01
1.470000,1.509096e-02,-1.492390e-01
1.480000,1.359706e-02,-1.493899e-01
1.490000,1.210316e-02,-1.495110e-01
1.500000,1.060684e-02,-1.496320e-01
1.510000,9.110520e-03,-1.497231e-01
1.520000,7.612377e-03,-1.498142e-01
