time,euler_theta,euler_w
0.000000,1.500000e-01,0.000000e+00
0.010000,1.500000e-01,-1.500000e-03
0.020000,1.499850e-01,-2.999694e-03
0.030000,1.499550e-01,-4.498933e-03
0.040000,1.499100e-01,-5.997565e-03
0.050000,1.498500e-01,-7.495443e-03
0.060000,1.497751e-01,-8.992415e-03
0.070000,1.496852e-01,-1.048833e-02
0.080000,1.495803e-01,-1.198305e-02
0.090000,1.494604e-01,-1.347641e-02
0.100000,1.493257e-01,-1.496826e-02
0.110000,1.491760e-01,-1.645847e-02
0.120000,1.490114e-01,-1.794687e-02
0.130000,1.488319e-01,-1.943333e-02
0.140000,1.486376e-01,-2.091769e-02
0.150000,1.484284e-01,-2.239980e-02
0.160000,1.482044e-01,-2.387951e-02
0.170000,1.479656e-01,-2.535669e-02
0.180000,1.477121e-01,-2.683118e-02
0.190000,1.474438e-01,-2.830283e-02
0.200000,1.471607e-01,-2.977150e-02
0.210000,1.468630e-01,-3.123703e-02
0.220000,1.465507e-01,-3.269929e-02
0.230000,1.462237e-01,-3.415813e-02
0.240000,1.458821e-01,-3.561341e-02
0.250000,1.455259e-01,-3.706497e-02
0.260000,1.451553e-01,-3.851267e-02
0.270000,1.447702e-01,-3.995637e-02
0.280000,1.443706e-01,-4.139593e-02
0.290000,1.439566e-01,-4.283119e-02
0.300000,1.435283e-01,-4.426203e-02
0.310000,1.430857e-01,-4.568829e-02
0.320000,1.426288e-01,-4.710983e-02
0.330000,1.421577e-01,-4.852651e-02
0.340000,1.416725e-01,-4.993820e-02
0.350000,1.411731e-01,-5.134474e-02
0.360000,1.406596e-01,-5.274600e-02
0.370000,1.401322e-01,-5.414185e-02
0.380000,1.395908e-01,-5.553213e-02
0.390000,1.390354e-01,-5.691672e-02
0.400000,1.384663e-01,-5.829547e-02
0.410000,1.378833e-01,-5.966824e-02
0.420000,1.372866e-01,-6.103491e-02
0.430000,1.366763e-01,-6.239534e-02
0.440000,1.360523e-01,-6.374938e-02
0.450000,1.354148e-01,-6.509690e-02
0.460000,1.347639e-01,-6.643778e-02
0.470000,1.340995e-01,-6.777188e-02
0.480000,1.334218e-01,-6.909905e-02
0.490000,1.327308e-01,-7.041918e-02
0.500000,1.320266e-01,-7.173213e-02
0.510000,1.313093e-01,-7.303778e-02
0.520000,1.305789e-01,-7.433598e-02
0.530000,1.298355e-01,-7.562661e-02
0.540000,1.290793e-01,-7.690955e-02
0.550000,1.283102e-01,-7.818466e-02
0.560000,1.275283e-01,-7.945182e-02
0.570000,1.267338e-01,-8.071091e-02
0.580000,1.259267e-01,-8.196179e-02
0.590000,1.251071e-01,-8.320435e-02
0.600000,1.242750e-01,-8.443846e-02
0.610000,1.234306e-01,-8.566399e-02
0.620000,1.225740e-01,-8.688083e-02
0.630000,1.217052e-01,-8.808886e-02
0.640000,1.208243e-01,-8.928795e-02
0.650000,1.199314e-01,-9.047799e-02
0.660000,1.190266e-01,-9.165886e-02
0.670000,1.181101e-01,-9.283044e-02
0.680000,1.171818e-01,-9.399262e-02
0.690000,1.162418e-01,-9.514527e-02
0.700000,1.152904e-01,-9.628829e-02
0.710000,1.143275e-01,-9.742157e-02
0.720000,1.133533e-01,-9.854498e-02
0.730000,1.123678e-01,-9.965842e-02
0.740000,1.113712e-01,-1.007618e-01
0.750000,1.103636e-01,-1.018550e-01
0.760000,1.093451e-01,-1.029378e-01
0.770000,1.083157e-01,-1.040103e-01
0.780000,1.072756e-01,-1.050722e-01
0.790000,1.062249e-01,-1.061236e-01
0.800000,1.051636e-01,-1.071642e-01
0.810000,1.040920e-01,-1.081940e-01
0.820000,1.030101e-01,-1.092128e-01
0.830000,1.019179e-01,-1.102207e-01
0.840000,1.008157e-01,-1.112174e-01
0.850000,9.970355e-02,-1.122029e-01
0.860000,9.858152e-02,-1.131770e-01
0.870000,9.744975e-02,-1.141398e-01
0.880000,9.630835e-02,-1.150910e-01
0.890000,9.515744e-02,-1.160306e-01
0.900000,9.399714e-02,-1.169585e-01
0.910000,9.282755e-02,-1.178747e-01
0.920000,9.164880e-02,-1.187789e-01
0.930000,9.046101e-02,-1.196712e-01
0.940000,8.926430e-02,-1.205514e-01
0.950000,8.805879e-02,-1.214195e-01
0.960000,8.684459e-02,-1.222753e-01
0.970000,8.562184e-02,-1.231188e-01
0.980000,8.439065e-02,-1.239499e-01
0.990000,8.315115e-02,-1.247686e-01
1.000000,8.190347e-02,-1.255746e-01
1.010000,8.064772e-02,-1.263681e-01
1.020000,7.938404e-02,-1.271488e-01
1.030000,7.811255e-02,-1.279167e-01
1.040000,7.683339e-02,-1.286717e-01
1.050000,7.554667e-02,-1.294138e-01
1.060000,7.425253e-02,-1.301429e-01
1.070000,7.295110e-02,-1.308589e-01
1.080000,7.164251e-02,-1.315618e-01
1.090000,7.032690e-02,-1.322514e-01
1.100000,6.900438e-02,-1.329277e-01
1.110000,6.767511e-02,-1.335906e-01
1.120000,6.633920e-02,-1.342401e-01
1.130000,6.499680e-02,-1.348761e-01
1.140000,6.364804e-02,-1.354986e-01
1.150000,6.229305e-02,-1.361075e-01
1.160000,6.093198e-02,-1.367027e-01
1.170000,5.956495e-02,-1.372841e-01
1.180000,5.819211e-02,-1.378518e-01
1.190000,5.681359e-02,-1.384056e-01
1.200000,5.542953e-02,-1.389455e-01
1.210000,5.404008e-02,-1.394715e-01
1.220000,5.264537e-02,-1.399834e-01
1.230000,5.124553e-02,-1.404813e-01
1.240000,4.984072e-02,-1.409652e-01
1.250000,4.843107e-02,-1.414348e-01
1.260000,4.701672e-02,-1.418903e-01
1.270000,4.559781e-02,-1.423315e-01
1.280000,4.417450e-02,-1.427585e-01
1.290000,4.274691e-02,-1.431711e-01
1.300000,4.131520e-02,-1.435694e-01
1.310000,3.987951e-02,-1.439533e-01
1.320000,3.843997e-02,-1.443228e-01
1.330000,3.699675e-02,-1.446777e-01
1.340000,3.554997e-02,-1.450182e-01
1.350000,3.409979e-02,-1.453441e-01
1.360000,3.264635e-02,-1.456555e-01
1.370000,3.118979e-02,-1.459523e-01
1.380000,2.973027e-02,-1.462344e-01
1.390000,2.826792e-02,-1.465019e-01
1.400000,2.680291e-02,-1.467547e-01
1.410000,2.533536e-02,-1.469928e-01
1.420000,2.386543e-02,-1.472162e-01
1.430000,2.239327e-02,-1.474248e-01
1.440000,2.091902e-02,-1.476187e-01
1.450000,1.944283e-02,-1.477978e-01
1.460000,1.796485e-02,-1.479621e-01
1.470000,1.648523e-02,-1.481116e-01
1.480000,1.500412e-02,-1.482463e-01
1.490000,1.352165e-02,-1.483661e-01
1.500000,1.203799e-02,-1.484710e-01
1.510000,1.055328e-02,-1.485612e-01
1.520000,9.067672e-03,-1.486364e-01
