time,rk4_theta,rk4_w
0.000000,1.500000e-01,0.000000e+00
0.010000,1.500000e-01,-1.550000e-03
0.020000,1.499844e-01,-3.100000e-03
0.030000,1.499533e-01,-4.649844e-03
0.040000,1.499065e-01,-6.199377e-03
0.050000,1.498442e-01,-7.748442e-03
0.060000,1.497664e-01,-9.296885e-03
0.070000,1.496729e-01,-1.084455e-02
0.080000,1.495639e-01,-1.239128e-02
0.090000,1.494394e-01,-1.393692e-02
0.100000,1.492993e-01,-1.548131e-02
0.110000,1.491437e-01,-1.702430e-02
0.120000,1.489726e-01,-1.856574e-02
0.130000,1.487861e-01,-2.010547e-02
0.140000,1.485840e-01,-2.164333e-02
0.150000,1.483665e-01,-2.317917e-02
0.160000,1.481335e-01,-2.471283e-02
0.170000,1.478851e-01,-2.624417e-02
0.180000,1.476214e-01,-2.777302e-02
0.190000,1.473423e-01,-2.929923e-02
0.200000,1.470478e-01,-3.082266e-02
0.210000,1.467380e-01,-3.234313e-02
0.220000,1.464130e-01,-3.386051e-02
0.230000,1.460727e-01,-3.537464e-02
0.240000,1.457172e-01,-3.688537e-02
0.250000,1.453464e-01,-3.839254e-02
0.260000,1.449606e-01,-3.989601e-02
0.270000,1.445596e-01,-4.139561e-02
0.280000,1.441436e-01,-4.289121e-02
0.290000,1.437125e-01,-4.438265e-02
0.300000,1.432665e-01,-4.586977e-02
0.310000,1.428055e-01,-4.735244e-02
0.320000,1.423296e-01,-4.883049e-02
0.330000,1.418388e-01,-5.030379e-02
0.340000,1.413333e-01,-5.177217e-02
0.350000,1.408130e-01,-5.323551e-02
0.360000,1.402779e-01,-5.469364e-02
0.370000,1.397282e-01,-5.614642e-02
0.380000,1.391640e-01,-5.759370e-02
0.390000,1.385851e-01,-5.903534e-02
0.400000,1.379918e-01,-6.047119e-02
0.410000,1.373841e-01,-6.190111e-02
0.420000,1.367620e-01,-6.332495e-02
0.430000,1.361255e-01,-6.474257e-02
0.440000,1.354749e-01,-6.615382e-02
0.450000,1.348100e-01,-6.755857e-02
0.460000,1.341310e-01,-6.895667e-02
0.470000,1.334380e-01,-7.034798e-02
0.480000,1.327310e-01,-7.173236e-02
0.490000,1.320101e-01,-7.310967e-02
0.500000,1.312753e-01,-7.447977e-02
0.510000,1.305268e-01,-7.584253e-02
0.520000,1.297645e-01,-7.719779e-02
0.530000,1.289887e-01,-7.854544e-02
0.540000,1.281993e-01,-7.988533e-02
0.550000,1.273964e-01,-8.121732e-02
0.560000,1.265802e-01,-8.254128e-02
0.570000,1.257506e-01,-8.385709e-02
0.580000,1.249079e-01,-8.516459e-02
0.590000,1.240519e-01,-8.646367e-02
0.600000,1.231830e-01,-8.775419e-02
0.610000,1.223010e-01,-8.903602e-02
0.620000,1.214062e-01,-9.030903e-02
0.630000,1.204986e-01,-9.157309e-02
0.640000,1.195782e-01,-9.282808e-02
0.650000,1.186453e-01,-9.407386e-02
0.660000,1.176999e-01,-9.531031e-02
0.670000,1.167420e-01,-9.653731e-02
0.680000,1.157718e-01,-9.775473e-02
0.690000,1.147893e-01,-9.896245e-02
0.700000,1.137947e-01,-1.001603e-01
0.710000,1.127881e-01,-1.013483e-01
0.720000,1.117695e-01,-1.025262e-01
0.730000,1.107391e-01,-1.036939e-01
0.740000,1.096970e-01,-1.048513e-01
0.750000,1.086432e-01,-1.059982e-01
0.760000,1.075779e-01,-1.071347e-01
0.770000,1.065012e-01,-1.082604e-01
0.780000,1.054131e-01,-1.093754e-01
0.790000,1.043139e-01,-1.104796e-01
0.800000,1.032036e-01,-1.115727e-01
0.810000,1.020822e-01,-1.126548e-01
0.820000,1.009500e-01,-1.137256e-01
0.830000,9.980708e-02,-1.147851e-01
0.840000,9.865347e-02,-1.158331e-01
0.850000,9.748933e-02,-1.168697e-01
0.860000,9.631477e-02,-1.178946e-01
0.870000,9.512991e-02,-1.189077e-01
0.880000,9.393486e-02,-1.199090e-01
0.890000,9.272976e-02,-1.208984e-01
0.900000,9.151471e-02,-1.218757e-01
0.910000,9.028984e-02,-1.228408e-01
0.920000,8.905527e-02,-1.237937e-01
0.930000,8.781112e-02,-1.247343e-01
0.940000,8.655752e-02,-1.256624e-01
0.950000,8.529459e-02,-1.265780e-01
0.960000,8.402246e-02,-1.274809e-01
0.970000,8.274126e-02,-1.283711e-01
0.980000,8.145111e-02,-1.292485e-01
0.990000,8.015214e-02,-1.301130e-01
1.000000,7.884448e-02,-1.309646e-01
1.010000,7.752826e-02,-1.318030e-01
1.020000,7.620362e-02,-1.326283e-01
1.030000,7.487068e-02,-1.334403e-01
1.040000,7.352959e-02,-1.342390e-01
1.050000,7.218046e-02,-1.350243e-01
1.060000,7.082345e-02,-1.357961e-01
