time,euler_theta,euler_w
0.000000,1.500000e-01,0.000000e+00
0.010000,1.500000e-01,-1.500000e-03
0.020000,1.499850e-01,-2.999847e-03
0.030000,1.499550e-01,-4.499391e-03
0.040000,1.499100e-01,-5.998483e-03
0.050000,1.498500e-01,-7.496971e-03
0.060000,1.497751e-01,-8.994707e-03
0.070000,1.496851e-01,-1.049154e-02
0.080000,1.495802e-01,-1.198732e-02
0.090000,1.494603e-01,-1.348190e-02
0.100000,1.493255e-01,-1.497513e-02
0.110000,1.491757e-01,-1.646686e-02
0.120000,1.490111e-01,-1.795694e-02
0.130000,1.488315e-01,-1.944522e-02
0.140000,1.486371e-01,-2.093155e-02
0.150000,1.484277e-01,-2.241579e-02
0.160000,1.482036e-01,-2.389778e-02
0.170000,1.479646e-01,-2.537738e-02
0.180000,1.477108e-01,-2.685444e-02
0.190000,1.474423e-01,-2.832881e-02
0.200000,1.471590e-01,-2.980035e-02
0.210000,1.468610e-01,-3.126890e-02
0.220000,1.465483e-01,-3.273432e-02
0.230000,1.462210e-01,-3.419647e-02
0.240000,1.458790e-01,-3.565519e-02
0.250000,1.455224e-01,-3.711035e-02
0.260000,1.451513e-01,-3.856179e-02
0.270000,1.447657e-01,-4.000937e-02
0.280000,1.443656e-01,-4.145295e-02
0.290000,1.439511e-01,-4.289238e-02
0.300000,1.435222e-01,-4.432752e-02
0.310000,1.430789e-01,-4.575822e-02
0.320000,1.426213e-01,-4.718435e-02
0.330000,1.421495e-01,-4.860575e-02
0.340000,1.416634e-01,-5.002229e-02
0.350000,1.411632e-01,-5.143383e-02
0.360000,1.406489e-01,-5.284021e-02
0.370000,1.401205e-01,-5.424132e-02
0.380000,1.395780e-01,-5.563699e-02
0.390000,1.390217e-01,-5.702710e-02
0.400000,1.384514e-01,-5.841150e-02
0.410000,1.378673e-01,-5.979006e-02
0.420000,1.372694e-01,-6.116264e-02
0.430000,1.366578e-01,-6.252910e-02
0.440000,1.360325e-01,-6.388930e-02
0.450000,1.353936e-01,-6.524312e-02
0.460000,1.347411e-01,-6.659040e-02
0.470000,1.340752e-01,-6.793103e-02
0.480000,1.333959e-01,-6.926485e-02
0.490000,1.327033e-01,-7.059175e-02
0.500000,1.319974e-01,-7.191159e-02
0.510000,1.312782e-01,-7.322423e-02
0.520000,1.305460e-01,-7.452955e-02
0.530000,1.298007e-01,-7.582741e-02
0.540000,1.290424e-01,-7.711769e-02
0.550000,1.282713e-01,-7.840025e-02
0.560000,1.274873e-01,-7.967497e-02
0.570000,1.266905e-01,-8.094173e-02
0.580000,1.258811e-01,-8.220038e-02
0.590000,1.250591e-01,-8.345081e-02
0.600000,1.242246e-01,-8.469290e-02
0.610000,1.233777e-01,-8.592651e-02
0.620000,1.225184e-01,-8.715153e-02
0.630000,1.216469e-01,-8.836782e-02
0.640000,1.207632e-01,-8.957529e-02
0.650000,1.198674e-01,-9.077379e-02
0.660000,1.189597e-01,-9.196321e-02
0.670000,1.180401e-01,-9.314343e-02
0.680000,1.171086e-01,-9.431434e-02
0.690000,1.161655e-01,-9.547581e-02
0.700000,1.152107e-01,-9.662773e-02
0.710000,1.142445e-01,-9.776999e-02
0.720000,1.132668e-01,-9.890247e-02
0.730000,1.122777e-01,-1.000251e-01
0.740000,1.112775e-01,-1.011376e-01
0.750000,1.102661e-01,-1.022401e-01
0.760000,1.092437e-01,-1.033323e-01
0.770000,1.082104e-01,-1.044142e-01
0.780000,1.071662e-01,-1.054857e-01
0.790000,1.061114e-01,-1.065466e-01
0.800000,1.050459e-01,-1.075969e-01
0.810000,1.039699e-01,-1.086364e-01
0.820000,1.028836e-01,-1.096650e-01
0.830000,1.017869e-01,-1.106826e-01
0.840000,1.006801e-01,-1.116892e-01
0.850000,9.956321e-02,-1.126846e-01
0.860000,9.843637e-02,-1.136688e-01
0.870000,9.729968e-02,-1.146416e-01
0.880000,9.615326e-02,-1.156029e-01
0.890000,9.499724e-02,-1.165526e-01
0.900000,9.383171e-02,-1.174907e-01
0.910000,9.265680e-02,-1.184171e-01
0.920000,9.147263e-02,-1.193315e-01
0.930000,9.027932e-02,-1.202341e-01
0.940000,8.907697e-02,-1.211246e-01
0.950000,8.786573e-02,-1.220031e-01
0.960000,8.664570e-02,-1.228693e-01
0.970000,8.541700e-02,-1.237232e-01
0.980000,8.417977e-02,-1.245648e-01
0.990000,8.293412e-02,-1.253939e-01
1.000000,8.168019e-02,-1.262104e-01
1.010000,8.041808e-02,-1.270144e-01
1.020000,7.914794e-02,-1.278056e-01
1.030000,7.786988e-02,-1.285841e-01
1.040000,7.658404e-02,-1.293497e-01
1.050000,7.529054e-02,-1.301023e-01
1.060000,7.398952e-02,-1.308420e-01
1.070000,7.268110e-02,-1.315685e-01
1.080000,7.136542e-02,-1.322819e-01
1.090000,7.004260e-02,-1.329821e-01
1.100000,6.871278e-02,-1.336689e-01
1.110000,6.737609e-02,-1.343425e-01
1.120000,6.603266e-02,-1.350025e-01
1.130000,6.468264e-02,-1.356491e-01
1.140000,6.332615e-02,-1.362821e-01
1.150000,6.196333e-02,-1.369014e-01
1.160000,6.059431e-02,-1.375071e-01
1.170000,5.921924e-02,-1.380991e-01
1.180000,5.783825e-02,-1.386772e-01
1.190000,5.645148e-02,-1.392414e-01
1.200000,5.505906e-02,-1.397917e-01
1.210000,5.366115e-02,-1.403281e-01
1.220000,5.225787e-02,-1.408504e-01
1.230000,5.084936e-02,-1.413586e-01
1.240000,4.943578e-02,-1.418527e-01
1.250000,4.801725e-02,-1.423326e-01
1.260000,4.659392e-02,-1.427982e-01
1.270000,4.516594e-02,-1.432496e-01
1.280000,4.373344e-02,-1.436867e-01
1.290000,4.229658e-02,-1.441094e-01
1.300000,4.085548e-02,-1.445177e-01
1.310000,3.941031e-02,-1.449115e-01
1.320000,3.796119e-02,-1.452908e-01
1.330000,3.650828e-02,-1.456556e-01
1.340000,3.505173e-02,-1.460058e-01
1.350000,3.359167e-02,-1.463415e-01
1.360000,3.212826e-02,-1.466625e-01
1.370000,3.066163e-02,-1.469688e-01
1.380000,2.919194e-02,-1.472604e-01
1.390000,2.771934e-02,-1.475374e-01
1.400000,2.624396e-02,-1.477995e-01
1.410000,2.476597e-02,-1.480469e-01
1.420000,2.328550e-02,-1.482794e-01
1.430000,2.180271e-02,-1.484972e-01
1.440000,2.031773e-02,-1.487001e-01
1.450000,1.883073e-02,-1.488881e-01
1.460000,1.734185e-02,-1.490612e-01
1.470000,1.585124e-02,-1.492195e-01
1.480000,1.435905e-02,-1.493628e-01
1.490000,1.286542e-02,-1.494911e-01
1.500000,1.137051e-02,-1.496045e-01
1.510000,9.874461e-03,-1.497030e-01
1.520000,8.377432e-03,-1.497865e-01
