time,euler_theta,euler_w
0.000000,1.500000e-01,0.000000e+00
0.010000,1.500000e-01,-1.500000e-03
0.020000,1.499850e-01,-2.998471e-03
0.030000,1.499550e-01,-4.495264e-03
0.040000,1.499101e-01,-5.990232e-03
0.050000,1.498502e-01,-7.483227e-03
0.060000,1.497753e-01,-8.974100e-03
0.070000,1.496856e-01,-1.046271e-02
0.080000,1.495810e-01,-1.194890e-02
0.090000,1.494615e-01,-1.343253e-02
0.100000,1.493271e-01,-1.491345e-02
0.110000,1.491780e-01,-1.639152e-02
0.120000,1.490141e-01,-1.786659e-02
0.130000,1.488354e-01,-1.933852e-02
0.140000,1.486420e-01,-2.080716e-02
0.150000,1.484340e-01,-2.227237e-02
0.160000,1.482112e-01,-2.373400e-02
0.170000,1.479739e-01,-2.519192e-02
0.180000,1.477220e-01,-2.664598e-02
0.190000,1.474555e-01,-2.809604e-02
0.200000,1.471746e-01,-2.954195e-02
0.210000,1.468792e-01,-3.098359e-02
0.220000,1.465693e-01,-3.242079e-02
0.230000,1.462451e-01,-3.385344e-02
0.240000,1.459066e-01,-3.528138e-02
0.250000,1.455538e-01,-3.670448e-02
0.260000,1.451867e-01,-3.812260e-02
0.270000,1.448055e-01,-3.953561e-02
0.280000,1.444101e-01,-4.094336e-02
0.290000,1.440007e-01,-4.234573e-02
0.300000,1.435772e-01,-4.374257e-02
0.310000,1.431398e-01,-4.513375e-02
0.320000,1.426885e-01,-4.651914e-02
0.330000,1.422233e-01,-4.789861e-02
0.340000,1.417443e-01,-4.927201e-02
0.350000,1.412516e-01,-5.063923e-02
0.360000,1.407452e-01,-5.200013e-02
0.370000,1.402252e-01,-5.335457e-02
0.380000,1.396916e-01,-5.470243e-02
0.390000,1.391446e-01,-5.604359e-02
0.400000,1.385842e-01,-5.737791e-02
0.410000,1.380104e-01,-5.870526e-02
0.420000,1.374233e-01,-6.002552e-02
0.430000,1.368231e-01,-6.133857e-02
0.440000,1.362097e-01,-6.264427e-02
0.450000,1.355833e-01,-6.394251e-02
0.460000,1.349438e-01,-6.523316e-02
0.470000,1.342915e-01,-6.651610e-02
0.480000,1.336263e-01,-6.779121e-02
0.490000,1.329484e-01,-6.905837e-02
0.500000,1.322579e-01,-7.031746e-02
0.510000,1.315547e-01,-7.156836e-02
0.520000,1.308390e-01,-7.281095e-02
0.530000,1.301109e-01,-7.404512e-02
0.540000,1.293704e-01,-7.527075e-02
0.550000,1.286177e-01,-7.648773e-02
0.560000,1.278528e-01,-7.769594e-02
0.570000,1.270759e-01,-7.889526e-02
0.580000,1.262869e-01,-8.008560e-02
0.590000,1.254861e-01,-8.126683e-02
0.600000,1.246734e-01,-8.243885e-02
0.610000,1.238490e-01,-8.360155e-02
0.620000,1.230130e-01,-8.475482e-02
0.630000,1.221655e-01,-8.589855e-02
0.640000,1.213065e-01,-8.703265e-02
0.650000,1.204361e-01,-8.815699e-02
0.660000,1.195546e-01,-8.927149e-02
0.670000,1.186619e-01,-9.037603e-02
0.680000,1.177581e-01,-9.147053e-02
0.690000,1.168434e-01,-9.255487e-02
0.700000,1.159178e-01,-9.362895e-02
0.710000,1.149816e-01,-9.469269e-02
0.720000,1.140346e-01,-9.574598e-02
0.730000,1.130772e-01,-9.678872e-02
0.740000,1.121093e-01,-9.782083e-02
0.750000,1.111311e-01,-9.884221e-02
0.760000,1.101427e-01,-9.985276e-02
0.770000,1.091441e-01,-1.008524e-01
0.780000,1.081356e-01,-1.018410e-01
0.790000,1.071172e-01,-1.028186e-01
0.800000,1.060890e-01,-1.037849e-01
0.810000,1.050512e-01,-1.047400e-01
0.820000,1.040038e-01,-1.056838e-01
0.830000,1.029469e-01,-1.066161e-01
0.840000,1.018808e-01,-1.075369e-01
0.850000,1.008054e-01,-1.084461e-01
0.860000,9.972093e-02,-1.093436e-01
0.870000,9.862749e-02,-1.102293e-01
0.880000,9.752520e-02,-1.111032e-01
0.890000,9.641417e-02,-1.119652e-01
0.900000,9.529452e-02,-1.128152e-01
0.910000,9.416636e-02,-1.136532e-01
0.920000,9.302983e-02,-1.144790e-01
0.930000,9.188504e-02,-1.152926e-01
0.940000,9.073212e-02,-1.160939e-01
0.950000,8.957118e-02,-1.168829e-01
0.960000,8.840235e-02,-1.176595e-01
0.970000,8.722575e-02,-1.184235e-01
0.980000,8.604152e-02,-1.191751e-01
0.990000,8.484977e-02,-1.199140e-01
1.000000,8.365063e-02,-1.206403e-01
1.010000,8.244422e-02,-1.213538e-01
1.020000,8.123069e-02,-1.220545e-01
1.030000,8.001014e-02,-1.227424e-01
1.040000,7.878272e-02,-1.234174e-01
1.050000,7.754854e-02,-1.240794e-01
1.060000,7.630775e-02,-1.247284e-01
1.070000,7.506046e-02,-1.253644e-01
1.080000,7.380682e-02,-1.259872e-01
1.090000,7.254695e-02,-1.265968e-01
1.100000,7.128098e-02,-1.271932e-01
1.110000,7.000905e-02,-1.277764e-01
1.120000,6.873128e-02,-1.283462e-01
1.130000,6.744782e-02,-1.289027e-01
1.140000,6.615879e-02,-1.294458e-01
1.150000,6.486434e-02,-1.299754e-01
1.160000,6.356458e-02,-1.304916e-01
1.170000,6.225967e-02,-1.309942e-01
1.180000,6.094972e-02,-1.314833e-01
1.190000,5.963489e-02,-1.319587e-01
1.200000,5.831530e-02,-1.324206e-01
1.210000,5.699110e-02,-1.328687e-01
1.220000,5.566241e-02,-1.333032e-01
1.230000,5.432938e-02,-1.337240e-01
1.240000,5.299214e-02,-1.341309e-01
1.250000,5.165083e-02,-1.345241e-01
1.260000,5.030559e-02,-1.349035e-01
1.270000,4.895655e-02,-1.352690e-01
1.280000,4.760386e-02,-1.356207e-01
1.290000,4.624765e-02,-1.359585e-01
1.300000,4.488807e-02,-1.362824e-01
1.310000,4.352525e-02,-1.365924e-01
1.320000,4.215932e-02,-1.368884e-01
1.330000,4.079044e-02,-1.371704e-01
1.340000,3.941873e-02,-1.374385e-01
1.350000,3.804435e-02,-1.376926e-01
1.360000,3.666742e-02,-1.379327e-01
1.370000,3.528810e-02,-1.381587e-01
1.380000,3.390651e-02,-1.383708e-01
1.390000,3.252280e-02,-1.385688e-01
1.400000,3.113711e-02,-1.387528e-01
1.410000,2.974959e-02,-1.389227e-01
1.420000,2.836036e-02,-1.390786e-01
1.430000,2.696957e-02,-1.392204e-01
1.440000,2.557737e-02,-1.393482e-01
1.450000,2.418389e-02,-1.394619e-01
1.460000,2.278927e-02,-1.395616e-01
1.470000,2.139365e-02,-1.396472e-01
1.480000,1.999718e-02,-1.397188e-01
1.490000,1.859999e-02,-1.397764e-01
1.500000,1.720223e-02,-1.398199e-01
1.510000,1.580403e-02,-1.398494e-01
1.520000,1.440553e-02,-1.398649e-01
