time,leapfrog_theta,leapfrog_w
0.000000,1.500000e-01,0.000000e+00
0.010000,1.500000e-01,-1.500000e-03
0.020000,1.499700e-01,-2.999083e-03
0.030000,1.499400e-01,-4.497566e-03
0.040000,1.498800e-01,-5.995132e-03
0.050000,1.498201e-01,-7.491500e-03
0.060000,1.497302e-01,-8.986952e-03
0.070000,1.496404e-01,-1.048061e-02
0.080000,1.495206e-01,-1.197335e-02
0.090000,1.494009e-01,-1.346370e-02
0.100000,1.492513e-01,-1.495313e-02
0.110000,1.491018e-01,-1.643958e-02
0.120000,1.489225e-01,-1.792512e-02
0.130000,1.487433e-01,-1.940707e-02
0.140000,1.485344e-01,-2.088811e-02
0.150000,1.483256e-01,-2.236498e-02
0.160000,1.480871e-01,-2.384095e-02
0.170000,1.478488e-01,-2.531214e-02
0.180000,1.475809e-01,-2.678244e-02
0.190000,1.473131e-01,-2.824737e-02
0.200000,1.470159e-01,-2.971142e-02
0.210000,1.467189e-01,-3.116952e-02
0.220000,1.463925e-01,-3.262674e-02
0.230000,1.460664e-01,-3.407742e-02
0.240000,1.457110e-01,-3.552722e-02
0.250000,1.453558e-01,-3.696991e-02
0.260000,1.449716e-01,-3.841173e-02
0.270000,1.445876e-01,-3.984584e-02
0.280000,1.441747e-01,-4.127911e-02
0.290000,1.437620e-01,-4.270409e-02
0.300000,1.433206e-01,-4.412823e-02
0.310000,1.428794e-01,-4.554351e-02
0.320000,1.424097e-01,-4.695796e-02
0.330000,1.419403e-01,-4.836299e-02
0.340000,1.414424e-01,-4.976719e-02
0.350000,1.409449e-01,-5.116140e-02
0.360000,1.404192e-01,-5.255480e-02
0.370000,1.398938e-01,-5.393764e-02
0.380000,1.393405e-01,-5.531968e-02
0.390000,1.387874e-01,-5.669061e-02
0.400000,1.382067e-01,-5.806076e-02
0.410000,1.376262e-01,-5.941923e-02
0.420000,1.370183e-01,-6.077694e-02
0.430000,1.364107e-01,-6.212243e-02
0.440000,1.357758e-01,-6.346716e-02
0.450000,1.351413e-01,-6.479912e-02
0.460000,1.344798e-01,-6.613035e-02
0.470000,1.338187e-01,-6.744827e-02
0.480000,1.331309e-01,-6.876547e-02
0.490000,1.324434e-01,-7.006883e-02
0.500000,1.317295e-01,-7.137149e-02
0.510000,1.310160e-01,-7.265977e-02
0.520000,1.302763e-01,-7.394737e-02
0.530000,1.295370e-01,-7.522007e-02
0.540000,1.287719e-01,-7.649210e-02
0.550000,1.280072e-01,-7.774872e-02
0.560000,1.272169e-01,-7.900469e-02
0.570000,1.264271e-01,-8.024474e-02
0.580000,1.256120e-01,-8.148416e-02
0.590000,1.247974e-01,-8.270714e-02
0.600000,1.239579e-01,-8.392952e-02
0.610000,1.231188e-01,-8.513497e-02
0.620000,1.222552e-01,-8.633983e-02
0.630000,1.213920e-01,-8.752726e-02
0.640000,1.205046e-01,-8.871413e-02
0.650000,1.196178e-01,-8.988310e-02
0.660000,1.187070e-01,-9.105151e-02
0.670000,1.177967e-01,-9.220155e-02
0.680000,1.168629e-01,-9.335106e-02
0.690000,1.159297e-01,-9.448171e-02
0.700000,1.149733e-01,-9.561186e-02
0.710000,1.140175e-01,-9.672270e-02
0.720000,1.130389e-01,-9.783305e-02
0.730000,1.120608e-01,-9.892364e-02
0.740000,1.110604e-01,-1.000138e-01
0.750000,1.100605e-01,-1.010837e-01
0.760000,1.090387e-01,-1.021532e-01
0.770000,1.080175e-01,-1.032020e-01
0.780000,1.069747e-01,-1.042504e-01
0.790000,1.059325e-01,-1.052777e-01
0.800000,1.048691e-01,-1.063046e-01
0.810000,1.038064e-01,-1.073101e-01
0.820000,1.027229e-01,-1.083151e-01
0.830000,1.016401e-01,-1.092983e-01
0.840000,1.005370e-01,-1.102811e-01
0.850000,9.943444e-02,-1.112416e-01
0.860000,9.831212e-02,-1.122017e-01
0.870000,9.719041e-02,-1.131392e-01
0.880000,9.604934e-02,-1.140763e-01
0.890000,9.490888e-02,-1.149904e-01
0.900000,9.374953e-02,-1.159042e-01
0.910000,9.259080e-02,-1.167945e-01
0.920000,9.141364e-02,-1.176846e-01
0.930000,9.023710e-02,-1.185508e-01
0.940000,8.904262e-02,-1.194168e-01
0.950000,8.784877e-02,-1.202586e-01
0.960000,8.663745e-02,-1.211002e-01
0.970000,8.542676e-02,-1.219173e-01
0.980000,8.419911e-02,-1.227342e-01
0.990000,8.297208e-02,-1.235262e-01
1.000000,8.172858e-02,-1.243181e-01
1.010000,8.048572e-02,-1.250847e-01
1.020000,7.922689e-02,-1.258513e-01
1.030000,7.796869e-02,-1.265923e-01
1.040000,7.669504e-02,-1.273332e-01
1.050000,7.542203e-02,-1.280483e-01
1.060000,7.413407e-02,-1.287634e-01
1.070000,7.284676e-02,-1.294523e-01
1.080000,7.154503e-02,-1.301411e-01
1.090000,7.024394e-02,-1.308036e-01
1.100000,6.892896e-02,-1.314660e-01
1.110000,6.761462e-02,-1.321017e-01
1.120000,6.628692e-02,-1.327375e-01
1.130000,6.495987e-02,-1.333463e-01
1.140000,6.362000e-02,-1.339551e-01
1.150000,6.228076e-02,-1.345368e-01
1.160000,6.092926e-02,-1.351185e-01
1.170000,5.957839e-02,-1.356727e-01
1.180000,5.821581e-02,-1.362271e-01
1.190000,5.685385e-02,-1.367537e-01
1.200000,5.548073e-02,-1.372805e-01
1.210000,5.410824e-02,-1.377793e-01
1.220000,5.272515e-02,-1.382784e-01
1.230000,5.134267e-02,-1.387493e-01
1.240000,4.995016e-02,-1.392204e-01
1.250000,4.855827e-02,-1.396631e-01
1.260000,4.715690e-02,-1.401061e-01
1.270000,4.575614e-02,-1.405206e-01
1.280000,4.434649e-02,-1.409353e-01
1.290000,4.293744e-02,-1.413213e-01
1.300000,4.152006e-02,-1.417076e-01
1.310000,4.010329e-02,-1.420650e-01
1.320000,3.867876e-02,-1.424228e-01
1.330000,3.725483e-02,-1.427515e-01
1.340000,3.582373e-02,-1.430806e-01
1.350000,3.439322e-02,-1.433805e-01
1.360000,3.295612e-02,-1.436808e-01
1.370000,3.151960e-02,-1.439517e-01
1.380000,3.007709e-02,-1.442231e-01
1.390000,2.863514e-02,-1.444650e-01
1.400000,2.718779e-02,-1.447074e-01
1.410000,2.574099e-02,-1.449203e-01
1.420000,2.428938e-02,-1.451336e-01
1.430000,2.283832e-02,-1.453173e-01
1.440000,2.138303e-02,-1.455015e-01
1.450000,1.992829e-02,-1.456560e-01
1.460000,1.846991e-02,-1.458110e-01
1.470000,1.701207e-02,-1.459362e-01
1.480000,1.555119e-02,-1.460620e-01
1.490000,1.409083e-02,-1.461579e-01
1.500000,1.262803e-02,-1.462544e-01
1.510000,1.116574e-02,-1.463210e-01
1.520000,9.701612e-03,-1.463882e-01
