time,euler_theta,euler_w,leapfrog_theta,leapfrog_w
0.69,0.0533282,0.440251i0,0
0.695,0.0555294,0.421023i0,0
0.7,0.0576346,0.401189i0,0
0.705,0.0596405,0.380782i0,0
0.71,0.0615444,0.359836i0,0
0.715,0.0633436,0.338387i0,0
0.72,0.0650355,0.316471i0,0
0.725,0.0666179,0.294125i0,0
0.73,0.0680885,0.271385i0,0
0.735,0.0694454,0.248289i0,0
0.74,0.0706869,0.224875i0,0
0.745,0.0718112,0.201182i0,0
0.75,0.0728172,0.177249i0,0
0.755,0.0737034,0.153114i0,0
0.76,0.074469,0.128816i0,0
0.765,0.075113,0.104396i0,0
0.77,0.075635,0.0798924i0,0
0.775,0.0760345,0.0553445i0,0
0.78,0.0763112,0.0307919i0,0
0.785,0.0764652,0.00627362i0,0
0.79,0.0764965,-0.0181712i0,0
0.795,0.0764057,-0.0425038i0,0
0.8,0.0761932,-0.0666858i0,0
0.805,0.0758597,-0.0906789i0,0
0.81,0.0754063,-0.114446i0,0
0.815,0.0748341,-0.137949i0,0
0.82,0.0741444,-0.161152i0,0
0.825,0.0733386,-0.184019i0,0
0.83,0.0724185,-0.206514i0,0
0.835,0.071386,-0.228603i0,0
0.84,0.0702429,-0.250251i0,0
0.845,0.0689917,-0.271427i0,0
0.85,0.0676345,-0.292097i0,0
0.855,0.0661741,-0.312231i0,0
0.86,0.0646129,-0.331797i0,0
0.865,0.0629539,-0.350768i0,0
0.87,0.0612001,-0.369113i0,0
0.875,0.0593545,-0.386808i0,0
0.88,0.0574205,-0.403824i0,0
0.885,0.0554014,-0.420138i0,0
0.89,0.0533007,-0.435725i0,0
0.895,0.051122,-0.450564i0,0
0.9,0.0488692,-0.464634i0,0
0.905,0.0465461,-0.477913i0,0
0.91,0.0441565,-0.490385i0,0
0.915,0.0417046,-0.502031i0,0
0.92,0.0391944,-0.512836i0,0
0.925,0.0366302,-0.522785i0,0
0.93,0.0340163,-0.531867i0,0
0.935,0.031357,-0.540068i0,0
0.94,0.0286566,-0.547379i0,0
0.945,0.0259197,-0.553791i0,0
0.95,0.0231508,-0.559298i0,0
0.955,0.0203543,-0.563893i0,0
0.96,0.0175348,-0.567572i0,0
0.965,0.014697,-0.570333i0,0
0.97,0.0118453,-0.572174i0,0
0.975,0.00898444,-0.573095i0,0
0.98,0.00611896,-0.573098i0,0
0.985,0.00325348,-0.572186i0,0
0.99,0.000392546,-0.570364i0,0
0.995,-0.00245927,-0.567637i0,0
1,-0.00529746,-0.564014i0,0
1.005,-0.00811753,-0.559502i0,0
1.01,-0.010915,-0.554113i0,0
1.015,-0.0136856,-0.547858i0,0
1.02,-0.0164249,-0.540749i0,0
1.025,-0.0191286,-0.532801i0,0
1.03,-0.0217926,-0.52403i0,0
1.035,-0.0244128,-0.514452i0,0
1.04,-0.026985,-0.504085i0,0
1.045,-0.0295055,-0.492949i0,0
1.05,-0.0319702,-0.481064i0,0
1.055,-0.0343755,-0.468451i0,0
1.06,-0.0367178,-0.455134i0,0
1.065,-0.0389935,-0.441135i0,0
1.07,-0.0411991,-0.42648i0,0
1.075,-0.0433315,-0.411193i0,0
1.08,-0.0453875,-0.395303i0,0
1.085,-0.047364,-0.378835i0,0
1.09,-0.0492582,-0.361819i0,0
1.095,-0.0510673,-0.344283i0,0
1.1,-0.0527887,-0.326257i0,0
1.105,-0.05442,-0.307771i0,0
1.11,-0.0559588,-0.288858i0,0
1.115,-0.0574031,-0.269547i0,0
1.12,-0.0587509,-0.249872i0,0
1.125,-0.0600002,-0.229865i0,0
1.13,-0.0611495,-0.209559i0,0
1.135,-0.0621973,-0.188987i0,0
1.14,-0.0631423,-0.168184i0,0
1.145,-0.0639832,-0.147184i0,0
1.15,-0.0647191,-0.12602i0,0
1.155,-0.0653492,-0.104726i0,0
1.16,-0.0658728,-0.0833382i0,0
1.165,-0.0662895,-0.06189i0,0
1.17,-0.066599,-0.0404159i0,0
1.175,-0.0668011,-0.0189504i0,0
1.18,-0.0668958,0.0024723i0,0
1.185,-0.0668835,0.0238181i0,0
1.19,-0.0667644,0.0450533i0,0
1.195,-0.0665391,0.0661442i0,0
1.2,-0.0662084,0.0870578i0,0
1.205,-0.0657731,0.107761i0,0
1.21,-0.0652343,0.128222i0,0
1.215,-0.0645932,0.148409i0,0
1.22,-0.0638511,0.16829i0,0
1.225,-0.0630097,0.187834i0,0
1.23,-0.0620705,0.207013i0,0
1.235,-0.0610354,0.225795i0,0
1.24,-0.0599065,0.244153i0,0
1.245,-0.0586857,0.262059i0,0
1.25,-0.0573754,0.279486i0,0
1.255,-0.055978,0.296407i0,0
1.26,-0.0544959,0.312797i0,0
1.265,-0.052932,0.328633i0,0
